item_name,Alcohol,Calcium,Calories,Cholesterol,Dietary Fiber,Iron,Protein,Saturated Fat,Sodium,Sugars,Total Carbohydrate,Total Fat,Trans Fat,Vitamin A,Vitamin C,Brand Name,Meal Type,Source URL,Potassium,Caffeine,Monounsaturated Fat,Polyunsaturated Fat,Omega- Fatty Acids,Alcohol_values,Alcohol_units,Calcium_values,Calcium_units,Cholesterol_values,Cholesterol_units,Dietary Fiber_values,Dietary Fiber_units,Iron_values,Iron_units,Protein_values,Protein_units,Saturated Fat_values,Saturated Fat_units,Sodium_values,Sodium_units,Sugars_values,Sugars_units,Total Carbohydrate_values,Total Carbohydrate_units,Total Fat_values,Total Fat_units,Vitamin A_values,Vitamin A_units,Vitamin C_values,Vitamin C_units,Potassium_values,Potassium_units,Trans Fat_values,Trans Fat_units,Monounsaturated Fat_values,Monounsaturated Fat_units,Polyunsaturated Fat_values,Polyunsaturated Fat_units,Caffeine_values,Caffeine_units,Omega- Fatty Acids_values,Omega- Fatty Acids_units,Unnamed: 0
Homestyle Bakes Cheesy Chicken Alfredo,0 g,150 mg,410,35 mg,3 g,3 mg,15 g,7 g,880 mg,8 g,40 g,21 g,0 g,200 mg,2 mg,Banquet,Packaged Meals,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-homestyle-bakes-cheesy-chicken-alfredo/NN09Jb9cSemBAFpnXvJ_qw,,,,,,0.0,g,150.0,mg,35.0,mg,3.0,g,3.0,mg,15.0,g,7.0,g,880.0,mg,8.0,g,40.0,g,21.0,g,200.0,mg,2.0,mg,,,0.0,g,,,,,,,,,
"Chicken Fingers Dinner, frozen",0 g,80 mg,479,50 mg,5 g,3 mg,17 g,4.5 g,700 mg,22 g,56 g,21 g,0 g,300 mg,0 mg,Banquet,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-chicken-fingers-dinner-frozen/yJkVmy99TcylUJ4wiHMvLw,420 mg,,,,,0.0,g,80.0,mg,50.0,mg,5.0,g,3.0,mg,17.0,g,4.5,g,700.0,mg,22.0,g,56.0,g,21.0,g,300.0,mg,0.0,mg,420.0,mg,0.0,g,,,,,,,,,
"Original Fried Chicken, frozen",0 g,20 mg,330,75 mg,0.5 g,1 mg,24 g,5 g,890 mg,0 g,12 g,21 g,1.5 g,200 mg,1 mg,Banquet,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-original-fried-chicken-frozen/gLKBScoJRdeEVqnwsseExA,350 mg,,,,,0.0,g,20.0,mg,75.0,mg,0.5,g,1.0,mg,24.0,g,5.0,g,890.0,mg,0.0,g,12.0,g,21.0,g,200.0,mg,1.0,mg,350.0,mg,1.5,g,,,,,,,,,
Vegetarian Cheesy Bean & Rice Burrito,,150 mg,410,5 mg,7 g,4 mg,10 g,4 g,880 mg,3 g,56 g,16 g,0 g,0 mg,1 mg,Taco Bell,Burritos,https://www.calorieking.com/us/en/foods/f/calories-in-burritos-vegetarian-cheesy-bean-rice-burrito/_va-CF8rQPGd5MqHbklv8Q,,,,,,,,150.0,mg,5.0,mg,7.0,g,4.0,mg,10.0,g,4.0,g,880.0,mg,3.0,g,56.0,g,16.0,g,0.0,mg,1.0,mg,,,0.0,g,,,,,,,,,
"Green Goddess Cobb Salad, with Chicken & Green Goddess Dressing",0 g,,550,290 mg,7 g,,42 g,8 g,720 mg,12 g,24 g,33 g,0 g,,,Panera Bread,Salads,https://www.calorieking.com/us/en/foods/f/calories-in-salads-green-goddess-cobb-salad-with-chicken-green-goddess-dressing/7IuHeueSQTu_ImvZwHsDMg,,0 mg,,,,0.0,g,,,290.0,mg,7.0,g,,,42.0,g,8.0,g,720.0,mg,12.0,g,24.0,g,33.0,g,,,,,,,0.0,g,,,,,0.0,mg,,,
"Broccoli Cheddar Soup, bowl",0 g,,360,55 mg,6 g,,14 g,13 g,1330 mg,6 g,30 g,21 g,1 g,,,Panera Bread,Soups & Chilis,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chilis-broccoli-cheddar-soup-bowl/0oc3p6V9Q-ybR736OkJZGQ,,0 mg,,,,0.0,g,,,55.0,mg,6.0,g,,,14.0,g,13.0,g,1330.0,mg,6.0,g,30.0,g,21.0,g,,,,,,,1.0,g,,,,,0.0,mg,,,
French Baguette,0 g,,126,0 mg,0.8 g,,4.2 g,0 g,302 mg,0 g,24.3 g,0.4 g,0 g,,,Panera Bread,Bakery,https://www.calorieking.com/us/en/foods/f/calories-in-bakery-french-baguette/VIMGYo28Q2exccJdXEkI7A,,0 mg,,,,0.0,g,,,0.0,mg,0.8,g,,,4.2,g,0.0,g,302.0,mg,0.0,g,24.3,g,0.4,g,,,,,,,0.0,g,,,,,0.0,mg,,,
Cinnamon Crunch Bagel,0 g,60 mg,430,0 mg,2 g,4 mg,10 g,4.5 g,380 mg,32 g,82 g,7 g,0 g,0 mg,0 mg,Panera Bread,Bakery,https://www.calorieking.com/us/en/foods/f/calories-in-bakery-cinnamon-crunch-bagel/6hZ6hxDDSdi5dixEazcPSw,,0 mg,,,,0.0,g,60.0,mg,0.0,mg,2.0,g,4.0,mg,10.0,g,4.5,g,380.0,mg,32.0,g,82.0,g,7.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,0.0,mg,,,
"Bistro French Onion Soup, bowl",0 g,,310,10 mg,4 g,,12 g,6 g,1670 mg,15 g,35 g,13 g,0 g,,,Panera Bread,Soups & Chilis,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chilis-bistro-french-onion-soup-bowl/dy_8El8VTuuKz9bIXf5zKQ,,0 mg,,,,0.0,g,,,10.0,mg,4.0,g,,,12.0,g,6.0,g,1670.0,mg,15.0,g,35.0,g,13.0,g,,,,,,,0.0,g,,,,,0.0,mg,,,
"Carbmaster, Average All Flavors",0 g,350 mg,80,5 mg,1 g,0 mg,12 g,1 g,100 mg,3 g,4 g,1.5 g,0 g,300 mg,2 mg,Kroger,Yogurts,https://www.calorieking.com/us/en/foods/f/calories-in-yogurts-carbmaster-average-all-flavors/qHIPjTyJSV6Vh371aViyKw,140 mg,,,,,0.0,g,350.0,mg,5.0,mg,1.0,g,0.0,mg,12.0,g,1.0,g,100.0,mg,3.0,g,4.0,g,1.5,g,300.0,mg,2.0,mg,140.0,mg,0.0,g,,,,,,,,,
